message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=-0.019852, y=4.988468])";"30";"turtlesim3.sim";"1695638050.759440898";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.019852, y=4.963370])";"30";"turtlesim1.sim";"1695638050.761150603";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.019852, y=4.963370])";"30";"turtlesim2.sim";"1695638050.764284003";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.019852, y=4.963370])";"30";"turtlesim3.sim";"1695638050.776023420";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.019852, y=4.938272])";"30";"turtlesim1.sim";"1695638050.777883613";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.019852, y=4.938272])";"30";"turtlesim2.sim";"1695638050.779814906";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.019852, y=4.938272])";"30";"turtlesim3.sim";"1695638050.791535836";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.019852, y=4.913174])";"30";"turtlesim1.sim";"1695638050.793557923";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.019852, y=4.913174])";"30";"turtlesim2.sim";"1695638050.796228720";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.019852, y=4.913174])";"30";"turtlesim3.sim";"1695638050.807971391";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.019852, y=4.888076])";"30";"turtlesim1.sim";"1695638050.809158743";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.019852, y=4.888076])";"30";"turtlesim2.sim";"1695638050.812662813";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.019852, y=4.888076])";"30";"turtlesim3.sim";"1695638050.823454804";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.019852, y=4.862978])";"30";"turtlesim1.sim";"1695638050.825792859";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.019852, y=4.862978])";"30";"turtlesim2.sim";"1695638050.828180624";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.019852, y=4.862978])";"30";"turtlesim3.sim";"1695638050.839927156";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.019852, y=4.837880])";"30";"turtlesim1.sim";"1695638050.841418519";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.019852, y=4.837880])";"30";"turtlesim2.sim";"1695638050.844534957";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.019852, y=4.837880])";"30";"turtlesim3.sim";"1695638050.855358124";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.019852, y=4.812782])";"30";"turtlesim1.sim";"1695638050.857911662";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.019852, y=4.812782])";"30";"turtlesim2.sim";"1695638050.859934972";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.019852, y=4.812782])";"30";"turtlesim3.sim";"1695638050.871666526";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.019852, y=4.787683])";"30";"turtlesim1.sim";"1695638050.873737212";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.019852, y=4.787683])";"30";"turtlesim2.sim";"1695638050.876246666";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.019852, y=4.787683])";"30";"turtlesim3.sim";"1695638050.888072633";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.019852, y=4.762585])";"30";"turtlesim1.sim";"1695638050.889482669";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.019852, y=4.762585])";"30";"turtlesim2.sim";"1695638050.892526958";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.019852, y=4.762585])";"30";"turtlesim3.sim";"1695638050.903535244";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.019852, y=4.737487])";"30";"turtlesim1.sim";"1695638050.905165902";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.019852, y=4.737487])";"30";"turtlesim2.sim";"1695638050.907969603";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.019852, y=4.737487])";"30";"turtlesim3.sim";"1695638050.920015390";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.019852, y=4.712389])";"30";"turtlesim1.sim";"1695638050.921172679";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.019852, y=4.712389])";"30";"turtlesim2.sim";"1695638050.924301366";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.019852, y=4.712389])";"30";"turtlesim3.sim";"1695638050.935475944";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.019852, y=4.687291])";"30";"turtlesim1.sim";"1695638050.937965670";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.019852, y=4.687291])";"30";"turtlesim2.sim";"1695638050.939917022";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.019852, y=4.687291])";"30";"turtlesim3.sim";"1695638050.951906125";"./src/turtle.cpp:update:260"
